Constituency,q,r,first_party
Aberavon,-12,-8,Lab
Aberconwy,-12,0,Con
Aberdeen North,-4,25,SNP
Aberdeen South,-3,24,Con
Airdrie and Shotts,-7,20,SNP
Aldershot,-3,-11,Con
Aldridge-Brownhills,-3,-1,Con
Altrincham and Sale West,-7,3,Con
Alyn and Deeside,-10,1,Lab
Amber Valley,0,2,Con
Angus,-5,23,Con
Arfon,-13,-1,PC
Argyll and Bute,-8,23,SNP
Arundel and South Downs,0,-15,Con
Ashfield,1,2,Lab
Ashford,12,-13,Con
Ashton-under-Lyne,-5,6,Lab
Aylesbury,2,-6,Con
"Ayr, Carrick and Cumnock",-8,16,Con
Banbury,1,-5,Con
Banff and Buchan,-5,24,Con
Barking,8,-9,Lab
Barnsley Central,-2,6,Lab
Barnsley East,-1,6,Lab
Barrow and Furness,-5,13,Lab
Basildon and Billericay,8,-5,Con
Basingstoke,-3,-10,Con
Bassetlaw,2,4,Lab
Bath,-6,-9,LD
Batley and Spen,-1,8,Lab
Battersea,4,-12,Lab
Beaconsfield,-1,-8,Con
Beckenham,7,-14,Con
Bedford,4,-3,Lab
Belfast East,-14,13,DUP
Belfast North,-14,14,DUP
Belfast South,-14,12,DUP
Belfast West,-15,13,SF
Bermondsey and Old Southwark,5,-11,Lab
"Berwickshire, Roxburgh and Selkirk",-5,17,Con
Berwick-upon-Tweed,-4,17,Con
Bethnal Green and Bow,7,-10,Lab
Beverley and Holderness,4,8,Con
Bexhill and Battle,10,-15,Con
Bexleyheath and Crayford,9,-10,Con
Birkenhead,-10,2,Lab
"Birmingham, Edgbaston",-4,-3,Lab
"Birmingham, Erdington",-2,-2,Lab
"Birmingham, Hall Green",-3,-4,Lab
"Birmingham, Hodge Hill",-1,-2,Lab
"Birmingham, Ladywood",-3,-3,Lab
"Birmingham, Northfield",-4,-4,Lab
"Birmingham, Perry Barr",-3,-2,Lab
"Birmingham, Selly Oak",-3,-5,Lab
"Birmingham, Yardley",-2,-3,Lab
Bishop Auckland,-2,12,Lab
Blackburn,-6,10,Lab
Blackley and Broughton,-6,6,Lab
Blackpool North and Cleveleys,-6,12,Con
Blackpool South,-8,11,Lab
Blaenau Gwent,-9,-3,Lab
Blaydon,-3,14,Lab
Blyth Valley,-2,17,Lab
Bognor Regis and Littlehampton,2,-15,Con
Bolsover,0,3,Lab
Bolton North East,-7,7,Lab
Bolton South East,-7,6,Lab
Bolton West,-8,7,Con
Bootle,-10,7,Lab
Boston and Skegness,4,5,Con
Bosworth,0,-1,Con
Bournemouth East,-8,-13,Con
Bournemouth West,-8,-14,Con
Bracknell,-2,-10,Con
Bradford East,-2,9,Lab
Bradford South,-2,8,Lab
Bradford West,-3,9,Lab
Braintree,8,-2,Con
Brecon and Radnorshire,-9,-2,Con
Brent Central,2,-9,Lab
Brent North,1,-9,Lab
Brentford and Isleworth,1,-11,Lab
Brentwood and Ongar,8,-4,Con
Bridgend,-12,-9,Lab
Bridgwater and West Somerset,-11,-12,Con
Brigg and Goole,1,7,Con
"Brighton, Kemptown",7,-15,Lab
"Brighton, Pavilion",6,-15,Green
Bristol East,-7,-9,Lab
Bristol North West,-8,-9,Lab
Bristol South,-7,-10,Lab
Bristol West,-8,-10,Lab
Broadland,7,2,Con
Bromley and Chislehurst,8,-13,Con
Bromsgrove,-4,-5,Con
Broxbourne,8,-6,Con
Broxtowe,0,1,Con
Buckingham,2,-5,Spk
Burnley,-4,10,Lab
Burton,-3,1,Con
Bury North,-6,9,Lab
Bury South,-6,8,Lab
Bury St Edmunds,9,-2,Con
Caerphilly,-10,-6,Lab
"Caithness, Sutherland and Easter Ross",-6,26,LD
Calder Valley,-4,9,Con
Camberwell and Peckham,6,-12,Lab
Camborne and Redruth,-15,-17,Con
Cambridge,6,-1,Lab
Cannock Chase,-4,-1,Con
Canterbury,12,-12,Lab
Cardiff Central,-9,-8,Lab
Cardiff North,-10,-7,Lab
Cardiff South and Penarth,-10,-9,Lab
Cardiff West,-10,-8,Lab
Carlisle,-4,14,Con
Carmarthen East and Dinefwr,-14,-7,PC
Carmarthen West and South Pembrokeshire,-15,-8,Con
Carshalton and Wallington,4,-14,LD
Castle Point,10,-7,Con
Central Ayrshire,-10,17,SNP
Central Devon,-13,-13,Con
Central Suffolk and North Ipswich,10,0,Con
Ceredigion,-12,-6,PC
Charnwood,3,0,Con
Chatham and Aylesford,10,-11,Con
Cheadle,-5,3,Con
Chelmsford,9,-4,Con
Chelsea and Fulham,2,-11,Con
Cheltenham,-7,-7,Con
Chesham and Amersham,0,-7,Con
Chesterfield,-1,3,Lab
Chichester,-1,-15,Con
Chingford and Woodford Green,6,-6,Con
Chippenham,-5,-9,Con
Chipping Barnet,3,-7,Con
Chorley,-7,9,Lab
Christchurch,-7,-13,Con
Cities of London and Westminster,4,-11,Con
City of Chester,-8,1,Lab
City of Durham,-2,13,Lab
Clacton,10,-3,Con
Cleethorpes,2,7,Con
Clwyd South,-10,-1,Lab
Clwyd West,-11,0,Con
"Coatbridge, Chryston and Bellshill",-8,20,Lab
Colchester,9,-3,Con
Colne Valley,-4,7,Lab
Congleton,-5,2,Con
Copeland,-6,13,Con
Corby,4,1,Con
Coventry North East,-1,-3,Lab
Coventry North West,-1,-4,Lab
Coventry South,0,-4,Lab
Crawley,1,-14,Con
Crewe and Nantwich,-6,1,Lab
Croydon Central,6,-14,Lab
Croydon North,6,-13,Lab
Croydon South,5,-14,Con
"Cumbernauld, Kilsyth and Kirkintilloch East",-8,21,SNP
Cynon Valley,-10,-5,Lab
Dagenham and Rainham,9,-8,Lab
Darlington,-1,12,Lab
Dartford,9,-11,Con
Daventry,1,-3,Con
Delyn,-11,1,Lab
Denton and Reddish,-4,5,Lab
Derby North,-1,2,Lab
Derby South,-1,1,Con
Derbyshire Dales,-3,3,Lab
Devizes,-5,-10,Con
Dewsbury,-2,7,Lab
Don Valley,1,5,Lab
Doncaster Central,1,6,Lab
Doncaster North,0,6,Lab
Dover,13,-12,Con
Dudley North,-7,-3,Lab
Dudley South,-6,-4,Con
Dulwich and West Norwood,5,-13,Lab
Dumfries and Galloway,-6,16,Con
"Dumfriesshire, Clydesdale and Tweeddale",-5,16,Con
Dundee East,-5,22,SNP
Dundee West,-6,23,SNP
Dunfermline and West Fife,-6,21,SNP
Dwyfor Meirionnydd,-12,-1,PC
Ealing Central and Acton,1,-10,Lab
Ealing North,0,-9,Lab
"Ealing, Southall",0,-10,Lab
Easington,0,14,Lab
East Antrim,-14,15,DUP
East Devon,-11,-14,LD
East Dunbartonshire,-8,22,Con
East Ham,7,-9,LD
East Hampshire,-3,-12,Lab
"East Kilbride, Strathaven and Lesmahagow",-8,17,Con
East Londonderry,-16,15,SNP
East Lothian,-4,18,Con
East Renfrewshire,-10,18,DUP
East Surrey,9,-14,Lab
East Worthing and Shoreham,4,-15,Con
East Yorkshire,3,10,Con
Eastbourne,9,-15,Con
Eastleigh,-4,-12,Con
Eddisbury,-7,1,Con
Edinburgh East,-5,19,SNP
Edinburgh North and Leith,-6,19,SNP
Edinburgh South,-5,18,Lab
Edinburgh South West,-6,18,SNP
Edinburgh West,-7,19,LD
Edmonton,5,-7,Lab
Ellesmere Port and Neston,-9,1,Lab
Elmet and Rothwell,2,10,Con
Eltham,8,-12,Lab
Enfield North,5,-6,Lab
"Enfield, Southgate",4,-6,Lab
Epping Forest,9,-6,Con
Epsom and Ewell,1,-13,Con
Erewash,1,0,Con
Erith and Thamesmead,8,-11,Lab
