Constituency,Remain,Leave
Belfast East,0.486,0.514
Belfast North,0.504,0.496
Belfast South,0.695,0.305
Belfast West,0.741,0.259
East Antrim,0.448,0.552
East Londonderry,0.520,0.480
Fermanagh and South Tyrone,0.586,0.414
Foyle,0.783,0.217
Lagan Valley,0.469,0.531
Mid Ulster,0.604,0.396
Newry and Armagh,0.629,0.369
North Antrim,0.378,0.622
North Down,0.524,0.476
South Antrim,0.494,0.506
South Down,0.672,0.328
Strangford,0.445,0.555
Upper Bann,0.474,0.526
West Tyrone,0.668,0.332
